Trained Samples, Block Average Training Error
217250,0.121038679
217500,0.052165334
217750,0.040171313
218000,0.089861376
218250,0.151677444
218500,0.054348063
218750,0.127722561
219000,0.045058721
219250,0.065361644
219500,0.097215699
219750,0.04514091
220000,0.044341608
220250,0.166100053
220500,0.093891278
220750,0.077458871
221000,0.075890446
221250,0.024228867
221500,0.165126073
221750,0.099219672
222000,0.045491033
222250,0.142427704
222500,0.077430645
222750,0.032524494
223000,0.091588254
223250,0.040290164
223500,0.032400818
223750,0.151734397
224000,0.054194848
224250,0.054580771
224500,0.123558372
224750,0.043453043
225000,0.086818183
225250,0.10359659
225500,0.052651356
225750,0.108088925
226000,0.056501938
226250,0.10608163
226500,0.052919972
226750,0.114286955
227000,0.059956502
227250,0.080213662
227500,0.0786715
227750,0.139764171
228000,0.122669664
228250,0.091697293
228500,0.149898253
228750,0.100680493
229000,0.127691165
229250,0.081087243
229500,0.054318948
229750,0.080658063
230000,0.100854419
230250,0.085802943
230500,0.079668482
230750,0.109283131
231000,0.06226112
231250,0.025585537
231500,0.065629404
231750,0.026332279
232000,0.105443441
232250,0.131013348
232500,0.058710149
232750,0.119657124
233000,0.071161307
233250,0.147284922
233500,0.044232372
233750,0.114834979
234000,0.088349585
234250,0.106306721
234500,0.093900257
234750,0.136631229
235000,0.120330384
235250,0.118941899
235500,0.072281078
235750,0.160607781
236000,0.163266065
236250,0.089788943
236500,0.134472403
236750,0.082573561
237000,0.128115161
237250,0.064251172
237500,0.105257498
237750,0.161550399
238000,0.089794958
238250,0.029242273
238500,0.031874199
238750,0.092934928
239000,0.045819142
239250,0.071067827
239500,0.027465728
239750,0.059756317
240000,0.142630552
240250,0.072811518
240500,0.038560098
240750,0.039711615
241000,0.083614224
241250,0.011770916
241500,0.080141878
241750,0.02990048
242000,0.038143283
242250,0.052706595
242500,0.048144
242750,0.119640288
243000,0.074656354
243250,0.086680924
243500,0.037170805
243750,0.129418268
244000,0.074675936
244250,0.064323168
244500,0.103749393
244750,0.087369454
245000,0.043085604
245250,0.105050415
245500,0.049576928
245750,0.067682166
246000,0.111751507
246250,0.112860007
246500,0.124197245
246750,0.03834985
247000,0.088292303
247250,0.052710279
247500,0.126452252
247750,0.118968981
248000,0.06463277
248250,0.063938355
248500,0.020036631
248750,0.079839091
249000,0.216047367
249250,0.053189078
249500,0.072728993
249750,0.107556322
250000,0.044328287
250250,0.096732758
250500,0.070857958
250750,0.056800188
251000,0.055188733
251250,0.056662174
251500,0.123044758
251750,0.120289456
252000,0.071316895
252250,0.084431319
252500,0.040576669
252750,0.046334478
253000,0.0982104
253250,0.061898759
253500,0.070530611
253750,0.072549285
254000,0.07019699
254250,0.022459295
254500,0.110453309
254750,0.053485818
255000,0.229801761
255250,0.11763659
255500,0.10248959
255750,0.084494673
256000,0.083339567
256250,0.104015026
256500,0.139211288
256750,0.0522522
257000,0.086521151
257250,0.126355196
257500,0.053712874
257750,0.05371584
258000,0.065083109
258250,0.072024403
258500,0.078337702
258750,0.051558506
259000,0.063256316
259250,0.102792517
259500,0.051963846
259750,0.063453553
260000,0.104086803
260250,0.040711827
260500,0.083400148
260750,0.097274007
261000,0.078153413
261250,0.061365676
261500,0.048197194
261750,0.085320097
262000,0.060310346
262250,0.044416717
262500,0.048744049
262750,0.05502413
263000,0.094165892
263250,0.079083263
263500,0.030628388
263750,0.099434509
264000,0.095270152
264250,0.0867475
264500,0.050967073
264750,0.133399144
265000,0.090693796
265250,0.066146105
265500,0.045987248
265750,0.108449343
266000,0.09651398
266250,0.048146763
266500,0.050486477
266750,0.209209998
267000,0.055161168
267250,0.083805112
267500,0.071024896
267750,0.055830014
268000,0.077306098
268250,0.07143432
268500,0.081555127
268750,0.115917325
269000,0.078077174
269250,0.117368871
269500,0.103324425
269750,0.032738081
270000,0.102928047
270250,0.08616967
270500,0.108309778
270750,0.066245456
271000,0.090548227
271250,0.152480878
271500,0.054392664
271750,0.143261454
272000,0.077283972
272250,0.033882432
272500,0.051750045
272750,0.044651867
273000,0.098947911
273250,0.057014396
273500,0.068234251
273750,0.038567614
274000,0.075851399
274250,0.127766851
274500,0.071392507
274750,0.045782238
275000,0.0887456
275250,0.138828823
275500,0.145243
275750,0.114854453
276000,0.097416979
276250,0.138642164
276500,0.122729313
276750,0.070632913
277000,0.079835002
277250,0.145450048
277500,0.049433457
277750,0.063755338
278000,0.093235916
278250,0.101406081
278500,0.064902293
278750,0.091554256
279000,0.028630597
279250,0.07965245
279500,0.086854734
279750,0.101400666
280000,0.034631831
280250,0.115255231
280500,0.116431486
280750,0.083945854
281000,0.038911182
281250,0.048690969
281500,0.093565383
281750,0.015012575
282000,0.050454258
282250,0.111768239
282500,0.058045818
282750,0.057206286
283000,0.090981399
283250,0.039615337
283500,0.037754859
283750,0.131624947
284000,0.122060972
284250,0.067412236
284500,0.103952249
284750,0.083502788
285000,0.043541683
285250,0.078069235
285500,0.087277035
285750,0.152364483
286000,0.051337579
286250,0.10370765
286500,0.091881482
286750,0.143678562
287000,0.058814061
287250,0.056809157
287500,0.054180388
287750,0.134592491
288000,0.14539358
288250,0.036987723
288500,0.198060179
288750,0.047110985
289000,0.108477081
289250,0.066035272
289500,0.100656752
289750,0.058250671
290000,0.091788978
290250,0.074390684
290500,0.11360422
290750,0.10809434
291000,0.047314446
291250,0.023390305
291500,0.123034103
291750,0.056597924
292000,0.091640069
292250,0.112830489
292500,0.05783062
292750,0.105105271
293000,0.055828472
293250,0.06596097
293500,0.107362017
293750,0.089032506
294000,0.063328368
294250,0.050816942
294500,0.104788167
294750,0.077925809
295000,0.116629056
295250,0.074910669
295500,0.035786763
295750,0.109612214
296000,0.126939416
296250,0.120687277
296500,0.073463394
296750,0.085058159
297000,0.150829799
297250,0.064830662
297500,0.097439949
297750,0.080443033
298000,0.091329041
298250,0.07704273
298500,0.036090728
298750,0.081576683
299000,0.164832158
299250,0.06055691
299500,0.032988333
299750,0.066942892
300000,0.072555559
300250,0.074373077
300500,0.028852419
300750,0.068944129
301000,0.047155183
301250,0.021623383
301500,0.071323583
301750,0.067946968
302000,0.083881473
302250,0.016919721
302500,0.061149303
302750,0.044517068
303000,0.092435236
303250,0.115013552
303500,0.012201186
303750,0.093922447
304000,0.096899413
304250,0.072178499
304500,0.083199771
304750,0.100680295
305000,0.043808836
305250,0.162182803
305500,0.099715539
305750,0.079149185
306000,0.157291601
306250,0.176254806
306500,0.120471173
306750,0.062559162
307000,0.103746987
307250,0.13489171
307500,0.141370008
307750,0.123018042
308000,0.061585534
308250,0.117763499
308500,0.054942674
308750,0.108602699
309000,0.071762212
309250,0.11874259
309500,0.118431978
309750,0.069678353
310000,0.055536769
310250,0.093618098
310500,0.074496239
310750,0.054982658
311000,0.034920743
311250,0.064659221
311500,0.113309908
311750,0.058802368
312000,0.0619834
312250,0.021013656
312500,0.094913825
312750,0.056448984
313000,0.029112297
313250,0.039781167
313500,0.076621513
313750,0.093242484
314000,0.057279828
314250,0.08060903
314500,0.039939035
314750,0.078896586
315000,0.191445801
315250,0.082972298
315500,0.100912797
315750,0.087375801
316000,0.052800339
316250,0.025517949
316500,0.098650769
316750,0.04676271
317000,0.090897489
317250,0.110264577
317500,0.028457822
317750,0.088213887
318000,0.043519599
318250,0.062276742
318500,0.075749984
318750,0.088376134
319000,0.07715428
319250,0.137812954
319500,0.060071103
319750,0.219669508
320000,0.075484028
320250,0.061022016
320500,0.090995714
320750,0.077440537
321000,0.122079143
321250,0.054988529
321500,0.079454293
321750,0.074738757
322000,0.044072314
322250,0.038222655
322500,0.130386776
322750,0.112871599
323000,0.082216945
323250,0.072687643
323500,0.033007072
323750,0.075352838
324000,0.039710158
324250,0.045046588
324500,0.034852254
324750,0.082317731
325000,0.052123567
325250,0.081594267
325500,0.060723047
325750,0.122069778
326000,0.111598159
326250,0.058371976
326500,0.083807933
326750,0.155165722
327000,0.045375088
327250,0.145703633
327500,0.101135169
327750,0.096810002
328000,0.075902136
328250,0.033480152
328500,0.085546153
328750,0.031159854
329000,0.102227613
329250,0.099522488
329500,0.051864504
329750,0.02515442
330000,0.155537083
330250,0.085003089
330500,0.120784141
330750,0.092100686
331000,0.089001781
331250,0.178044586
331500,0.103701502
331750,0.053944287
332000,0.090074693
332250,0.009606802
332500,0.100603012
332750,0.069699213
333000,0.104982609
333250,0.088973445
333500,0.073876078
333750,0.060756879
334000,0.035279334
334250,0.124492514
334500,0.055444954
334750,0.020663966
335000,0.081658932
335250,0.075882403
335500,0.120386391
335750,0.108788268
336000,0.169998075
336250,0.130123255
336500,0.114343325
336750,0.063828444
337000,0.065362713
337250,0.106711663
337500,0.068106274
337750,0.113672198
338000,0.083032301
338250,0.062918767
338500,0.052117415
338750,0.063549567
339000,0.0636242
339250,0.10935784
339500,0.054834905
339750,0.123970236
340000,0.093798411
340250,0.07477584
340500,0.116032195
340750,0.087869564
341000,0.041523256
341250,0.036169737
341500,0.029092567
341750,0.031433757
342000,0.059006357
342250,0.067569383
342500,0.018552026
342750,0.113867467
343000,0.066147124
343250,0.081177449
343500,0.070614887
343750,0.12974417
344000,0.051765869
344250,0.0749626
344500,0.062168256
344750,0.059103941
345000,0.081092934
345250,0.04576997
345500,0.12179306
345750,0.111041366
346000,0.163144828
346250,0.097680956
346500,0.032607981
346750,0.077048722
347000,0.020831538
347250,0.119964271
347500,0.092015149
347750,0.125317879
348000,0.135189684
348250,0.046660958
348500,0.156124001
348750,0.053892127
349000,0.096897322
349250,0.054573772
349500,0.099415439
349750,0.04942419
350000,0.043230594
350250,0.056256283
350500,0.074704842
350750,0.125044223
351000,0.033590865
351250,0.05806439
351500,0.053879953
351750,0.07017449
352000,0.057324682
352250,0.182815682
352500,0.044885237
352750,0.074231891
353000,0.077111166
353250,0.037197285
353500,0.100022036
353750,0.082700066
354000,0.025050113
354250,0.037043083
354500,0.072692092
354750,0.035869669
355000,0.11358849
355250,0.043344647
355500,0.048781014
355750,0.063664464
356000,0.088824758
356250,0.079016717
356500,0.036964722
356750,0.104119431
357000,0.104801743
357250,0.080009057
357500,0.108494226
357750,0.092817599
358000,0.104395999
358250,0.066123757
358500,0.046116503
358750,0.053869159
359000,0.193842323
359250,0.114237615
359500,0.055812864
359750,0.154939661
360000,0.080703613
360250,0.070933191
360500,0.058691493
360750,0.067950503
361000,0.085307377
361250,0.024373215
